sellerID , china_Seller , seller_rate , category , asin , product_url , offerList_url , sellers_url , RunTime
A29B71HOJFAP2K , HK , 3321 , ce-de/364924031 , B00KLI180M , http://www.amazon.de/gp/product/B00KLI180M , http://www.amazon.de/gp/offer-listing/B00KLI180M/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A29B71HOJFAP2K , 2017-01-11 12:51:59
A1VFP8YF5XT3U8 , HK , 551 , ce-de/364924031 , B00Q2VIW9M , http://www.amazon.de/gp/product/B00Q2VIW9M , http://www.amazon.de/gp/offer-listing/B00Q2VIW9M/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A1VFP8YF5XT3U8 , 2017-01-11 12:59:31
A2OKWYH4I33E4C , CN , 167 , ce-de/364924031 , B00Q2VIW9M , http://www.amazon.de/gp/product/B00Q2VIW9M , http://www.amazon.de/gp/offer-listing/B00Q2VIW9M/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A2OKWYH4I33E4C , 2017-01-11 12:59:47
